Unnamed: 0,host_response_time,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,instant_bookable,reviews_per_month
3218,1,89.0,1,29,44,2,2,2,1.0,1.0,56,3,1125,351,35,4.89,4.51,0,0.37
3224,2,100.0,0,5,38,2,2,2,1.0,1.0,129,3,35,363,7,4.86,4.83,0,0.08
3225,2,100.0,0,11,17,0,4,0,1.0,2.0,90,30,90,118,13,4.54,4.38,0,0.14
3236,1,33.0,0,29,17,0,5,0,3.0,3.0,150,5,1125,42,17,4.88,4.76,0,0.22
3238,0,85.0,0,27,17,0,2,0,1.0,1.0,111,3,1125,8,29,4.72,4.72,0,0.3
3251,2,91.0,0,27,44,2,2,2,1.0,1.0,45,7,30,25,75,4.6,4.42,0,0.76
3252,0,26.0,1,32,44,2,2,2,1.0,1.0,249,1,20,365,5,4.4,4.4,0,0.05
3258,2,96.0,1,8,44,2,2,2,1.0,1.0,58,3,1125,330,67,4.52,4.12,0,0.68
3262,2,95.0,1,32,13,0,3,0,2.0,2.0,450,6,1125,128,48,4.96,5.0,0,0.51
3270,2,96.0,0,19,44,2,2,2,1.0,1.0,72,1,1125,350,323,4.57,4.5,1,3.3
3287,2,94.0,0,11,38,2,2,2,1.0,1.0,56,2,1125,168,60,4.45,4.49,0,0.62
3291,2,97.0,1,22,44,2,2,0,1.0,1.0,50,1,1125,263,207,4.84,4.82,0,2.11
3292,2,85.0,1,19,9,0,2,0,1.0,1.0,249,3,28,84,65,4.98,4.97,0,0.67
3293,2,97.0,1,22,44,2,2,0,1.0,1.0,80,1,1125,189,13,4.62,4.77,0,0.14
3297,2,94.0,1,32,13,0,6,0,3.0,3.0,1895,10,180,365,4,5.0,5.0,1,0.09
3299,2,98.0,1,12,17,0,4,0,1.0,2.0,121,2,1125,143,146,4.81,4.7,0,1.5
3304,2,80.0,0,26,38,2,2,0,1.0,1.0,99,2,1125,277,18,4.89,4.94,0,0.27
3311,1,100.0,0,21,11,0,4,0,2.0,2.0,100,7,64,54,53,4.46,4.38,0,0.53
3317,1,79.0,0,21,17,0,3,0,1.0,1.0,116,4,1125,282,33,4.69,4.72,0,0.36
3318,2,95.0,1,31,17,0,4,0,2.0,3.0,495,1,1125,328,62,4.9,4.82,0,0.69
3319,2,100.0,0,19,17,0,4,0,1.0,2.0,174,1,1125,125,405,4.48,4.68,1,4.11
3322,2,44.0,0,13,16,0,6,0,3.0,3.0,356,5,1125,89,25,4.88,4.65,0,0.26
3324,2,100.0,0,18,17,0,3,0,2.0,2.0,155,3,1125,4,31,4.55,4.52,0,0.32
3325,2,14.0,0,31,17,0,5,0,2.0,2.0,186,8,1125,51,5,5.0,4.5,0,0.06
3343,2,100.0,1,32,17,0,4,0,2.0,2.0,795,9,1124,85,86,4.92,4.99,0,0.89
3351,2,100.0,0,29,44,2,2,0,1.0,1.0,41,1,1125,196,41,4.15,3.8,1,0.62
3354,1,100.0,0,31,17,0,6,0,3.0,3.0,200,3,365,88,108,4.7,4.72,1,1.12
3357,2,100.0,0,13,48,2,2,2,1.0,1.0,84,4,365,179,87,4.86,4.61,0,0.89
